candidate,primary_selected,window,scenario,cohort,count,median_cagr,median_total_return,median_excess_cagr,outperform_rate,median_sharpe,median_sharpe_excess,higher_sharpe_rate,sharpe_pairs,median_drawdown,median_exposure,median_entries,activity_rate,all_cash,cagr8_rate,positive_rate
R11_monthly_0.2_0.7,True,full,base,all,461,5.4518180557612705,60.178658033900014,1.9824576043776743,0.559652928416486,0.5143368817542809,0.1895743529670659,0.6919315403422983,409,24.9183864552889,0.1499390491670053,4.0,0.8872017353579176,52,0.3644251626898048,0.806941431670282
R11_monthly_0.2_0.7,True,full,base,primary,370,6.706724947338049,76.51867417872782,1.9564955352671776,0.572972972972973,0.5322358921145385,0.2028330750744607,0.7243243243243244,370,27.30549568886338,0.1499390491670053,4.0,1.0,0,0.4243243243243243,0.9567567567567568
R11_monthly_0.2_0.7,True,full,base,full10,275,6.683327356550572,90.88562066127228,1.3059027270900128,0.5490909090909091,0.5380238109313984,0.19268215586154397,0.7272727272727273,275,27.18369064436208,0.1499390491670053,4.0,1.0,0,0.41818181818181815,0.9781818181818182
R11_monthly_0.2_0.7,True,full,cost2x,all,461,5.325264978960531,58.2753735989648,1.8884933349114785,0.559652928416486,0.5054017879470494,0.18336760338720803,0.687041564792176,409,25.00000326600783,0.1499390491670053,4.0,0.8872017353579176,52,0.3579175704989154,0.806941431670282
R11_monthly_0.2_0.7,True,full,cost2x,primary,370,6.578665852612209,74.41310508520843,1.8607961588641198,0.572972972972973,0.5237853401504063,0.1939212037551305,0.7189189189189189,370,27.46808415652301,0.1499390491670053,4.0,1.0,0,0.41621621621621624,0.9567567567567568
R11_monthly_0.2_0.7,True,full,cost2x,full10,275,6.555296341351102,88.60867820670397,1.2049968484384443,0.5490909090909091,0.5296273716215594,0.18663178829401345,0.72,275,27.249963558734226,0.1499390491670053,4.0,1.0,0,0.4072727272727273,0.9781818181818182
R11_monthly_0.2_0.7,True,full,delay1,all,461,4.869111066972787,52.60754616968582,1.1937701092833883,0.5401301518438177,0.4741551911014526,0.13879352224061597,0.628361858190709,409,25.09240923783418,0.14953271028037382,4.0,0.8872017353579176,52,0.32537960954446854,0.7830802603036876
R11_monthly_0.2_0.7,True,full,delay1,primary,370,6.078419636536014,67.19033120768279,1.1589369265043947,0.5459459459459459,0.4906565145532623,0.1533826828644167,0.6567567567567567,370,27.609125022001113,0.14953271028037382,4.0,1.0,0,0.3810810810810811,0.9324324324324325
R11_monthly_0.2_0.7,True,full,delay1,full10,275,6.0411348868836034,79.7087849898132,0.6283628590532997,0.52,0.49376500947744306,0.14652281285672908,0.6509090909090909,275,27.59782967158343,0.14953271028037382,4.0,1.0,0,0.36727272727272725,0.9672727272727273
R11_monthly_0.2_0.7,True,reserved,base,all,461,1.8587650510880627,5.044394175975286,-12.046644203349688,0.28633405639913234,0.36637287756047854,-0.23772863518827125,0.33251833740831294,409,10.246102580678162,0.06838905775075987,1.0,0.8872017353579176,52,0.16268980477223427,0.6247288503253796
R11_monthly_0.2_0.7,True,reserved,base,primary,381,2.6762578879987675,7.312313750834676,-14.488998887244865,0.2388451443569554,0.39007215502450443,-0.23519523726277364,0.3333333333333333,381,11.059911547076496,0.06838905775075987,1.0,1.0,0,0.1784776902887139,0.7270341207349081
R11_monthly_0.2_0.7,True,reserved,base,full10,275,2.6270271595251415,7.174877510049504,-15.367139916060633,0.2109090909090909,0.41404482389431113,-0.24322126882233247,0.31636363636363635,275,10.019142866497887,0.06838905775075987,1.0,1.0,0,0.16,0.7345454545454545
R11_monthly_0.2_0.7,True,reserved,cost2x,all,461,1.7444727279397165,4.729732671043263,-12.033127065659553,0.28633405639913234,0.3530628389530885,-0.2528404447392243,0.33251833740831294,409,10.246102580678162,0.06838905775075987,1.0,0.8872017353579176,52,0.16052060737527116,0.6160520607375272
R11_monthly_0.2_0.7,True,reserved,cost2x,primary,381,2.5610482834025117,6.990858670747224,-14.472741264819499,0.2388451443569554,0.3774090726402296,-0.2510608567625164,0.3333333333333333,381,11.067192670202363,0.06838905775075987,1.0,1.0,0,0.17585301837270342,0.7165354330708661
R11_monthly_0.2_0.7,True,reserved,cost2x,full10,275,2.5118727950874,6.853834121558688,-15.349896960873899,0.2109090909090909,0.39779771858165913,-0.25444545369973226,0.31636363636363635,275,10.019142866497887,0.06838905775075987,1.0,1.0,0,0.16,0.7236363636363636
R11_monthly_0.2_0.7,True,reserved,delay1,all,461,0.8039911415106848,1.993046530943099,-13.089430166480199,0.279826464208243,0.2536703035373031,-0.32476486835599455,0.26894865525672373,409,10.39657315070489,0.0668693009118541,1.0,0.8872017353579176,52,0.1301518438177874,0.5726681127982647
R11_monthly_0.2_0.7,True,reserved,delay1,primary,381,1.7986044384901811,4.878690617461912,-15.261262134402422,0.2283464566929134,0.2862253973128713,-0.3053346721339095,0.2677165354330709,381,11.31386648542213,0.0668693009118541,1.0,1.0,0,0.14173228346456693,0.6692913385826772
R11_monthly_0.2_0.7,True,reserved,delay1,full10,275,1.8279031089933673,4.959369047310003,-15.99427208687616,0.2,0.30806375891373305,-0.3092352220974217,0.2545454545454545,275,10.0817470377629,0.0668693009118541,1.0,1.0,0,0.13818181818181818,0.6909090909090909
R11_BREADTH250_0.2_0.7,False,full,base,all,461,7.81775767582078,94.14894971507744,5.11134486091942,0.6550976138828634,0.5482845951333399,0.20279595330131212,0.725,400,36.568783731110535,0.2722470540430719,5.0,0.8676789587852495,61,0.4880694143167028,0.8004338394793926
R11_BREADTH250_0.2_0.7,False,full,base,primary,370,10.009298963958857,120.12641966293793,5.094255637995593,0.6783783783783783,0.5525195800751295,0.2063501506548826,0.7432432432432432,370,40.248801379636916,0.2722470540430719,5.0,1.0,0,0.5837837837837838,0.9486486486486486
R11_BREADTH250_0.2_0.7,False,full,base,full10,275,9.352842786228965,144.36274721041232,3.1973301297928423,0.6509090909090909,0.5493932865293861,0.20161894079921233,0.7418181818181818,275,40.185180541803774,0.2722470540430719,5.0,1.0,0,0.5490909090909091,0.96
R11_BREADTH250_0.2_0.7,False,full,cost2x,all,461,7.655819718918844,91.25844340517075,4.974883607793168,0.6507592190889371,0.5401187033341186,0.19675723153328062,0.7175,400,36.71204399084097,0.2722470540430719,5.0,0.8676789587852495,61,0.4750542299349241,0.8004338394793926
R11_BREADTH250_0.2_0.7,False,full,cost2x,primary,370,9.84429557179115,117.23161693779119,4.974392051671572,0.672972972972973,0.545366075830854,0.20048027802212834,0.7351351351351352,370,40.24880137963692,0.2722470540430719,5.0,1.0,0,0.5675675675675675,0.9486486486486486
R11_BREADTH250_0.2_0.7,False,full,cost2x,full10,275,9.188824015335584,140.7246535521444,3.060667803190876,0.6436363636363637,0.5393605294703301,0.19491255986134542,0.730909090909091,275,40.18518054180379,0.2722470540430719,5.0,1.0,0,0.5345454545454545,0.96
R11_BREADTH250_0.2_0.7,False,full,delay1,all,461,7.999973773014268,93.18093004199577,4.792927167050465,0.6637744034707158,0.5477866971076276,0.21836770758460566,0.735,400,35.77423224762104,0.2718407151564405,5.0,0.8676789587852495,61,0.49891540130151846,0.8026030368763557
R11_BREADTH250_0.2_0.7,False,full,delay1,primary,370,9.895342981709065,127.50588865211716,4.7180918354325145,0.6891891891891891,0.5579532169297893,0.22496259373778765,0.754054054054054,370,39.76235340355316,0.2718407151564405,5.0,1.0,0,0.5945945945945946,0.9513513513513514
R11_BREADTH250_0.2_0.7,False,full,delay1,full10,275,9.465440717431184,146.8888418818556,3.358524554528608,0.6654545454545454,0.558913788923655,0.22245903773334091,0.7636363636363637,275,39.46666545082327,0.2718407151564405,5.0,1.0,0,0.5709090909090909,0.9636363636363636
R11_BREADTH250_0.2_0.7,False,reserved,base,all,461,11.25392147492612,32.67298692809173,-2.9675471446477975,0.45770065075921906,0.772611141167848,0.21378563631318892,0.65,400,15.913209898147397,0.19148936170212766,2.0,0.8676789587852495,61,0.5726681127982647,0.7678958785249458
R11_BREADTH250_0.2_0.7,False,reserved,base,primary,381,13.80714899414639,41.28401169619329,-4.275814766163057,0.4330708661417323,0.783249357544322,0.22380607174394018,0.6587926509186351,381,17.260658243188022,0.19148936170212766,2.0,1.0,0,0.6797900262467191,0.905511811023622
R11_BREADTH250_0.2_0.7,False,reserved,base,full10,275,13.849928700480874,41.42596887005114,-4.934669100482081,0.4109090909090909,0.8469292955526416,0.25241127499780336,0.6763636363636364,275,15.691670852529061,0.19148936170212766,2.0,1.0,0,0.7054545454545454,0.9236363636363636
R11_BREADTH250_0.2_0.7,False,reserved,cost2x,all,461,11.004392917684424,31.879330966479724,-3.0728990773637888,0.45770065075921906,0.7576869645476901,0.20609031479837236,0.6475,400,15.913209898147397,0.19148936170212766,2.0,0.8676789587852495,61,0.5683297180043384,0.7657266811279827
